Category,Metric,Benchmark,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,N
All_geo,p1,HumanEval,0.6454545454545455,0.03196279932801745,0.45454545454545453,0.06017015392015392,11
DataDep,p1,HumanEval,0.3090909090909091,0.3550284397015071,0.2,0.4453821448613115,11
DeadCode,p1,HumanEval,0.6090909090909091,0.04669570935409886,0.5272727272727272,0.02638447971781305,11
Dominators,p1,HumanEval,0.790909090909091,0.003746082953397406,0.6363636363636364,0.005707170915504249,11
FuncReach,p1,HumanEval,0.6545454545454547,0.028864598957001886,0.4909090909090909,0.04053235730319064,11
Liveness,p1,HumanEval,-0.6272727272727273,0.03884525362035334,-0.4909090909090909,0.04053235730319064,11
LoopReach,p1,HumanEval,0.41818181818181827,0.20057021703405067,0.2727272727272727,0.2829668209876543,11
All_geo,p1,MBPP,0.6121212121212121,0.05997214247725524,0.4222222222222222,0.10831349206349207,10
DataDep,p1,MBPP,0.28484848484848485,0.42503815489214547,0.19999999999999998,0.4843127204585538,10
DeadCode,p1,MBPP,0.5151515151515151,0.12755286970323426,0.4222222222222222,0.10831349206349207,10
Dominators,p1,MBPP,0.9757575757575757,1.4675461874042197e-06,0.911111111111111,2.9761904761904762e-05,10
FuncReach,p1,MBPP,0.7333333333333332,0.01580059625057158,0.5555555555555555,0.02860945767195767,10
Liveness,p1,MBPP,0.04242424242424241,0.907363817812816,-0.022222222222222223,1.0,10
LoopReach,p1,MBPP,0.4666666666666666,0.17393859716506632,0.37777777777777777,0.1557418430335097,10
