model,family,All_byquestionscount_p1,HumanEval_p1,MBPP_p1,DataDep_p1,DeadCode_p1,Dominators_p1,FuncReach_p1,Liveness_p1,LoopReach_p1,All_averagecategory_p1,All_geo_p1
GPT-5-Codex,,78.94,,,89.28,89.05,97,97.83,33.96,64.96,78.68,74.17
GPT-5,,72.68,93.4,,79.86,91.15,96.48,76.44,32.26,64.53,73.45,69.40
GPT-4o Mini,GPT,70.21,88.4,,82.97,86.4,100,58.85,36.79,67.56,72.10,68.67
GPT-3.5 Turbo,GPT,70.55,71.9,,66.13,58.27,95.22,69.05,37.71,84.5,68.48,65.74
DeepSeek-Coder V2-Lite-Instr,DeepSeek,65.55,81.1,68.8,78.81,57.4,47.63,77.79,50.99,68.17,63.47,62.26
DeepSeek-Coder 7B-Instr v1.5,DeepSeek,44.79,64.1,64.6,41.98,51.05,45.14,41.18,36.23,50.41,44.33,44.02
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,18.11,,17.2,34.87,15.9,4.27,14.4,22.14,18.98,18.43,15.58
CodeLlama-13B-Instr,Llama,41.93,42.7,49.4,46.69,50.9,31.5,45.38,39.64,38.19,42.05,41.55
CodeLlama-7B-Instr,Llama,50.41,34.8,44.4,80.31,49.35,12.06,52.31,62.19,47.35,50.60,44.11
Llama-3 8B-Instr,Llama,41.6,72.6,,37.42,63.4,23.51,48.56,35.47,38.45,41.14,39.32
Mistral 7B-Instr (v0.3),Mistral,64.44,,,67.79,60.6,59.69,70.12,52.21,68.07,63.08,62.76
Mamba Codestral 7B (v0.1),Mistral,39.98,75,68.5,37.02,30.85,38.98,54.82,33.38,36.54,38.60,37.93
Qwen2.5-Coder 14B-Instr,Qwen,54.13,89.6,86.2,50.65,89.95,73.33,49.38,25.34,46.77,55.90,51.90
Qwen3 14B,Qwen,40.02,,73.4,27.61,61,48.5,58.4,19.85,24.89,40.04,36.48
StarCoder 2 7B,StarCoder,36.74,30.5,47.4,39.98,61.85,17.2,36.08,37.15,32.49,37.46,35.04
Phi-4 Reasoning (14B),Phi,22.6,,12.5,21.24,51.55,8.6,23.73,14.76,18.45,23.06,19.83
